Train error, Test error
49.89167, 4.25000
 16.68333, 3.25000
 11.74167, 4.75000
 10.23333, 5.00000
 8.77500, 5.25000
 8.59167, 5.50000
 8.24167, 5.50000
 7.90000, 6.00000
 7.89167, 6.00000
 7.67500, 6.25000
 7.57500, 5.75000
 7.75000, 6.00000
 7.53333, 6.00000
 7.46667, 6.25000
 7.44167, 6.00000
 7.41667, 6.25000
 7.38333, 6.00000
 7.29167, 6.00000
 7.48333, 6.00000
 7.35000, 6.00000
 7.33333, 6.25000
 7.55833, 6.25000
 7.45000, 6.25000
 7.46667, 6.25000
 7.20833, 6.00000
 7.33333, 6.00000
 7.46667, 6.25000
 7.31667, 6.00000
 7.40833, 6.00000
 7.20000, 6.25000
 7.33333, 6.00000
 7.36667, 6.25000
 7.42500, 6.00000
 7.20000, 6.25000
 7.35000, 6.25000
 7.31667, 6.25000
 7.38333, 6.25000
 7.34167, 6.25000
 7.43333, 6.00000
 7.38333, 6.25000
 7.33333, 6.25000
 7.34167, 6.25000
 7.33333, 6.00000
 7.30000, 6.25000
 7.26667, 6.25000
 7.37500, 6.25000
 7.39167, 6.25000
 7.41667, 6.25000
 7.48333, 6.25000
 7.23333, 6.25000
 7.40833, 6.25000
 7.45833, 5.75000
 7.32500, 6.25000
 7.46667, 6.25000
 7.36667, 6.25000
 7.40000, 6.25000
 7.45834, 6.25000
 7.44167, 6.25000
 7.33333, 6.25000
 7.40000, 6.25000
 7.38333, 6.25000
 7.36667, 6.25000
 7.30833, 6.25000
 7.49167, 6.25000
 7.38333, 6.25000
 7.48333, 6.25000
 7.40000, 6.25000
 7.29167, 6.25000
 7.40833, 6.25000
 7.31667, 6.25000
 7.44167, 6.25000
 7.35000, 6.25000
 7.48333, 6.25000
 7.35000, 6.25000
 7.45000, 6.25000
 7.20000, 6.25000
 7.42500, 6.25000
 7.42500, 6.25000
 7.31667, 6.25000
 7.40000, 6.25000
 7.30000, 6.25000
 7.45000, 6.25000
 7.42500, 6.25000
 7.29167, 6.25000
 7.29167, 6.25000
 7.33333, 6.25000
 7.39167, 6.25000
 7.35000, 6.25000
 7.51667, 6.25000
 7.33334, 6.25000
 7.36667, 6.25000
 7.34167, 6.25000
 7.25000, 6.25000
 7.15833, 6.25000
 7.29167, 6.25000
 7.35833, 6.25000
 7.27500, 6.00000
 7.20000, 6.25000
 7.31667, 5.75000
 7.20000, 6.25000
