Train loss,Test loss
 79.05494, 30.52963
 34.39338, 11.66162
 21.52181, 8.31340
 17.26573, 8.28105
 15.11296, 6.80900
 13.82733, 7.09443
 13.02373, 6.05415
 13.12727, 5.38128
 10.96413, 4.85716
 10.43695, 4.93091
 10.67809, 4.70757
 10.04492, 4.76517
 9.55411, 4.53784
 9.09531, 3.78636
 9.37210, 4.13216
 9.44089, 4.12072
 8.63015, 4.09243
 8.32463, 3.88562
 7.37993, 3.68940
 7.88624, 4.03272
 7.80710, 3.71623
 7.40789, 3.51992
 7.80193, 3.68034
 7.47368, 3.47447
 7.03511, 3.50338
 7.18625, 3.47312
 6.94792, 3.51129
 6.90464, 3.36832
 6.83717, 3.36766
 7.24726, 3.08727
 7.08491, 3.21089
 6.73824, 3.51876
 6.40180, 3.36025
 6.56707, 3.32879
 6.25567, 3.41285
 6.13018, 3.20943
 6.45290, 2.96649
 6.59684, 3.00421
 6.36770, 3.17195
 6.14866, 3.05771
 6.57378, 3.21116
 6.50232, 2.90314
 5.84164, 3.08947
 6.19193, 2.99899
 5.99821, 2.99033
 5.41981, 3.31235
 5.98057, 2.90073
 5.31500, 2.90664
 5.76294, 2.73032
 5.28139, 2.79395
 5.53523, 2.91711
 6.13539, 2.87176
 5.28508, 2.83687
 5.28404, 2.83863
 5.61631, 2.83616
 5.62719, 2.90072
 5.73529, 2.86640
 5.14256, 2.81537
 5.32242, 2.81775
 5.31052, 3.00722
 5.42021, 2.54677
 5.51050, 2.84820
 5.34941, 2.77385
 5.04197, 2.62479
 5.39416, 2.63093
 5.01330, 2.90398
 5.59350, 2.65380
 5.09985, 2.74114
 4.86971, 2.52748
 5.17595, 2.64006
 4.72753, 2.88887
 5.21085, 2.88355
 5.12180, 2.88735
 5.06018, 2.69811
 5.08451, 2.80915
 4.72782, 2.58400
 4.81854, 2.54209
 4.54208, 2.32811
 4.82579, 2.45015
 4.71492, 2.62001
 4.63854, 2.64942
 4.29087, 2.48528
 4.75954, 2.74980
 5.01244, 2.78503
 4.48585, 2.54946
 4.21479, 2.58226
 4.54066, 2.79488
 4.30810, 2.48604
 4.75935, 2.46642
 4.50493, 2.32665
 4.70488, 2.39715
 4.87574, 2.65744
 4.91426, 2.80428
 4.58836, 2.33868
 4.72064, 2.56739
 4.21387, 2.48258
 4.43887, 2.47767
 4.50812, 2.57902
 4.24077, 2.83918
 4.55654, 2.56377
