Train error, Test error
4414.28407, 542.36409
446.20296, 41.57702
 48.74366, 12.73983
 12.67137, 8.94809
 13.15190, 19.18612
 13.20593, 6.17267
 6.84933, 6.10066
 7.30355, 5.68251
 15.59059, 16.91306
 17.30754, 23.75323
 30.72364, 19.88453
 11.24360, 12.38805
 7.63142, 2.66998
 4.73779, 2.66978
 12.73638, 20.57194
 6.05783, 3.46863
 3.13161, 2.05862
 4.26108, 3.36941
 3.38166, 5.82019
 6.82265, 4.19220
 4.72326, 2.37328
 2.23937, 3.64319
 2.59844, 2.22908
 3.30520, 4.13264
 2.59977, 5.06304
 2.41624, 2.37101
 2.98730, 2.48994
 9.71900, 2.46929
 2.46359, 1.78882
 2.60408, 3.13446
 2.36596, 1.15346
 2.22925, 1.30436
 3.81229, 4.89349
 4.58748, 2.35112
 2.71273, 2.46624
 2.01315, 2.22168
 2.01524, 1.74205
 2.31747, 2.96794
 1.88950, 1.43907
 2.05160, 1.89414
 1.94347, 1.49796
 2.48558, 2.63357
 1.72520, 1.25276
 1.62636, 1.10391
 2.49705, 1.60260
 1.32229, 1.91960
 1.93270, 2.56079
 1.32937, 1.45783
 1.65545, 2.78456
 5.91493, 7.05656
 6.51032, 18.75838
 3.98166, 2.35082
 1.82635, 4.07905
 2.68843, 1.66851
 1.12032, 1.06338
 1.35697, 1.01068
 4.80318, 5.35615
 1.87737, 0.85769
 1.76606, 2.25955
 1.43909, 1.19251
 0.92356, 0.80931
 1.03037, 0.92800
 2.02116, 2.05825
 4.36043, 2.08595
 3.02104, 3.82395
 4.39359, 2.99325
 1.51526, 1.12816
 1.35527, 0.84798
 1.02078, 1.29154
 0.95265, 0.82477
 0.83558, 0.94000
 0.87293, 0.93922
 1.45493, 1.01822
 1.21879, 1.19440
 0.98625, 2.01139
 1.73101, 1.35975
 1.59016, 2.33143
 2.16992, 0.70213
 1.85134, 4.18612
 3.29386, 1.36002
 1.29618, 2.03502
 1.26980, 0.92685
 0.86500, 0.62801
 1.05021, 1.78908
 1.63225, 1.36670
 1.10845, 2.13735
 1.75087, 1.04234
 1.09067, 0.95650
 0.76200, 1.80274
 0.86302, 0.60301
 1.40505, 1.33253
 1.67188, 1.00772
 0.77631, 0.99226
 1.37833, 0.54488
 0.97200, 0.84285
 0.98305, 1.45908
 1.04269, 0.53669
 0.91984, 0.75670
 1.41761, 0.81976
 1.21854, 0.891
